GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner-occupied housing units:,Margin of Error; Owner-occupied housing units:,"Estimate; Owner-occupied housing units: - 1, detached","Margin of Error; Owner-occupied housing units: - 1, detached","Estimate; Owner-occupied housing units: - 1, attached","Margin of Error; Owner-occupied housing units: - 1, attached",Estimate; Owner-occupied housing units: - 2,Margin of Error; Owner-occupied housing units: - 2,Estimate; Owner-occupied housing units: - 3 or 4,Margin of Error; Owner-occupied housing units: - 3 or 4,Estimate; Owner-occupied housing units: - 5 to 9,Margin of Error; Owner-occupied housing units: - 5 to 9,Estimate; Owner-occupied housing units: - 10 to 19,Margin of Error; Owner-occupied housing units: - 10 to 19,Estimate; Owner-occupied housing units: - 20 to 49,Margin of Error; Owner-occupied housing units: - 20 to 49,Estimate; Owner-occupied housing units: - 50 or more,Margin of Error; Owner-occupied housing units: - 50 or more,Estimate; Owner-occupied housing units: - Mobile home,Margin of Error; Owner-occupied housing units: - Mobile home,"Estimate; Owner-occupied housing units: - Boat, RV, van, etc.","Margin of Error; Owner-occupied housing units: - Boat, RV, van, etc.",Estimate; Renter-occupied housing units:,Margin of Error; Renter-occupied housing units:,"Estimate; Renter-occupied housing units: - 1, detached","Margin of Error; Renter-occupied housing units: - 1, detached","Estimate; Renter-occupied housing units: - 1, attached","Margin of Error; Renter-occupied housing units: - 1, attached",Estimate; Renter-occupied housing units: - 2,Margin of Error; Renter-occupied housing units: - 2,Estimate; Renter-occupied housing units: - 3 or 4,Margin of Error; Renter-occupied housing units: - 3 or 4,Estimate; Renter-occupied housing units: - 5 to 9,Margin of Error; Renter-occupied housing units: - 5 to 9,Estimate; Renter-occupied housing units: - 10 to 19,Margin of Error; Renter-occupied housing units: - 10 to 19,Estimate; Renter-occupied housing units: - 20 to 49,Margin of Error; Renter-occupied housing units: - 20 to 49,Estimate; Renter-occupied housing units: - 50 or more,Margin of Error; Renter-occupied housing units: - 50 or more,Estimate; Renter-occupied housing units: - Mobile home,Margin of Error; Renter-occupied housing units: - Mobile home,"Estimate; Renter-occupied housing units: - Boat, RV, van, etc.","Margin of Error; Renter-occupied housing units: - Boat, RV, van, etc."
0400000US48,48,Texas,8244022,19609,5373524,24676,4737263,26166,121785,5227,13786,1855,15950,1848,17375,2260,10586,1664,8179,1451,15932,1601,421955,9976,10713,1642,2870498,26030,846698,17249,97028,5010,149324,7163,244925,7890,369502,10692,479982,11194,227664,8973,300227,8249,152162,5930,2986,1073
0500000US48029,48029,"Bexar County, Texas",542737,4557,339724,6285,314879,5795,5900,1121,1063,431,2126,740,1352,598,447,347,190,183,1224,401,12436,1768,107,129,203013,6754,64370,5426,7308,1407,8908,1728,18213,2319,35007,3066,34878,3619,12736,2131,17010,1834,4344,1014,239,257
