GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner-occupied housing units:,Margin of Error; Owner-occupied housing units:,"Estimate; Owner-occupied housing units: - 1, detached","Margin of Error; Owner-occupied housing units: - 1, detached","Estimate; Owner-occupied housing units: - 1, attached","Margin of Error; Owner-occupied housing units: - 1, attached",Estimate; Owner-occupied housing units: - 2,Margin of Error; Owner-occupied housing units: - 2,Estimate; Owner-occupied housing units: - 3 or 4,Margin of Error; Owner-occupied housing units: - 3 or 4,Estimate; Owner-occupied housing units: - 5 to 9,Margin of Error; Owner-occupied housing units: - 5 to 9,Estimate; Owner-occupied housing units: - 10 to 19,Margin of Error; Owner-occupied housing units: - 10 to 19,Estimate; Owner-occupied housing units: - 20 to 49,Margin of Error; Owner-occupied housing units: - 20 to 49,Estimate; Owner-occupied housing units: - 50 or more,Margin of Error; Owner-occupied housing units: - 50 or more,Estimate; Owner-occupied housing units: - Mobile home,Margin of Error; Owner-occupied housing units: - Mobile home,"Estimate; Owner-occupied housing units: - Boat, RV, van, etc.","Margin of Error; Owner-occupied housing units: - Boat, RV, van, etc.",Estimate; Renter-occupied housing units:,Margin of Error; Renter-occupied housing units:,"Estimate; Renter-occupied housing units: - 1, detached","Margin of Error; Renter-occupied housing units: - 1, detached","Estimate; Renter-occupied housing units: - 1, attached","Margin of Error; Renter-occupied housing units: - 1, attached",Estimate; Renter-occupied housing units: - 2,Margin of Error; Renter-occupied housing units: - 2,Estimate; Renter-occupied housing units: - 3 or 4,Margin of Error; Renter-occupied housing units: - 3 or 4,Estimate; Renter-occupied housing units: - 5 to 9,Margin of Error; Renter-occupied housing units: - 5 to 9,Estimate; Renter-occupied housing units: - 10 to 19,Margin of Error; Renter-occupied housing units: - 10 to 19,Estimate; Renter-occupied housing units: - 20 to 49,Margin of Error; Renter-occupied housing units: - 20 to 49,Estimate; Renter-occupied housing units: - 50 or more,Margin of Error; Renter-occupied housing units: - 50 or more,Estimate; Renter-occupied housing units: - Mobile home,Margin of Error; Renter-occupied housing units: - Mobile home,"Estimate; Renter-occupied housing units: - Boat, RV, van, etc.","Margin of Error; Renter-occupied housing units: - Boat, RV, van, etc."
0400000US48,48,Texas,9110853,20640,5634317,28687,4973599,27059,130181,5432,12634,1786,14208,1673,16025,2358,11354,1663,8844,1429,21679,2096,432766,10773,13027,2154,3476536,24237,1089700,20468,122941,5928,155329,7345,276109,8383,417672,10492,540424,14514,294183,9126,405734,10955,169731,7848,4713,1216
0500000US48029,48029,"Bexar County, Texas",620467,4370,354919,6076,331496,6274,7324,1261,1030,517,765,434,1077,450,289,271,292,324,1174,478,11430,1680,42,71,265548,6919,87478,5196,7967,1557,8211,1966,21251,2776,36153,3558,47812,5033,24551,2882,26947,2726,5097,1147,81,132
