GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner-occupied housing units:,Margin of Error; Owner-occupied housing units:,"Estimate; Owner-occupied housing units: - 1, detached","Margin of Error; Owner-occupied housing units: - 1, detached","Estimate; Owner-occupied housing units: - 1, attached","Margin of Error; Owner-occupied housing units: - 1, attached",Estimate; Owner-occupied housing units: - 2,Margin of Error; Owner-occupied housing units: - 2,Estimate; Owner-occupied housing units: - 3 or 4,Margin of Error; Owner-occupied housing units: - 3 or 4,Estimate; Owner-occupied housing units: - 5 to 9,Margin of Error; Owner-occupied housing units: - 5 to 9,Estimate; Owner-occupied housing units: - 10 to 19,Margin of Error; Owner-occupied housing units: - 10 to 19,Estimate; Owner-occupied housing units: - 20 to 49,Margin of Error; Owner-occupied housing units: - 20 to 49,Estimate; Owner-occupied housing units: - 50 or more,Margin of Error; Owner-occupied housing units: - 50 or more,Estimate; Owner-occupied housing units: - Mobile home,Margin of Error; Owner-occupied housing units: - Mobile home,"Estimate; Owner-occupied housing units: - Boat, RV, van, etc.","Margin of Error; Owner-occupied housing units: - Boat, RV, van, etc.",Estimate; Renter-occupied housing units:,Margin of Error; Renter-occupied housing units:,"Estimate; Renter-occupied housing units: - 1, detached","Margin of Error; Renter-occupied housing units: - 1, detached","Estimate; Renter-occupied housing units: - 1, attached","Margin of Error; Renter-occupied housing units: - 1, attached",Estimate; Renter-occupied housing units: - 2,Margin of Error; Renter-occupied housing units: - 2,Estimate; Renter-occupied housing units: - 3 or 4,Margin of Error; Renter-occupied housing units: - 3 or 4,Estimate; Renter-occupied housing units: - 5 to 9,Margin of Error; Renter-occupied housing units: - 5 to 9,Estimate; Renter-occupied housing units: - 10 to 19,Margin of Error; Renter-occupied housing units: - 10 to 19,Estimate; Renter-occupied housing units: - 20 to 49,Margin of Error; Renter-occupied housing units: - 20 to 49,Estimate; Renter-occupied housing units: - 50 or more,Margin of Error; Renter-occupied housing units: - 50 or more,Estimate; Renter-occupied housing units: - Mobile home,Margin of Error; Renter-occupied housing units: - Mobile home,"Estimate; Renter-occupied housing units: - Boat, RV, van, etc.","Margin of Error; Renter-occupied housing units: - Boat, RV, van, etc."
0400000US48,48,Texas,8738664,20291,5555903,27420,4899521,26502,130597,6483,13732,1844,15508,2008,15291,2083,9356,1513,7735,1441,17737,1785,434833,10893,11593,1802,3182761,25433,977597,17455,109761,5163,161543,6940,245813,8823,377229,11249,500228,13913,272189,11074,358961,8613,174295,8318,5145,1410
0500000US48029,48029,"Bexar County, Texas",596937,5209,358198,4789,335144,4406,7389,1577,827,379,1188,503,753,430,528,346,401,273,872,348,10999,1666,97,136,238739,5304,83702,4695,7703,1453,10421,2010,16603,2392,33299,3041,40516,3477,19274,2578,23405,2446,3757,1017,59,98
